"COUNTY
FACILITIES","DESIGN
CAPACITY",TOTAL POPULATION HOC,TOTAL POPULATION JAIL,"TOTAL
OCCUPANCY","PERCENT
OCCUPIED",Date
BARNSTABLE,300,164,151,315,105%,3/19/18
BERKSHIRE,292,115,94,209,72%,3/19/18
BRISTOL,,,,,,3/19/18
Ash Street,206,18,117,135,66%,3/19/18
Dartmouth,304,357,548,905,298%,3/19/18
Women's Center,56,36,47,83,148%,3/19/18
DUKES,19,22,0,22,116%,3/19/18
ESSEX,,,,,,3/19/18
Middleton,1291,369,797,1166,90%,3/19/18
WIT,23,32,NA,32,139%,3/19/18
L.C.A.C.,340,227,NA,227,67%,3/19/18
FRANKLIN,144,91,124,215,149%,3/19/18
HAMPDEN,,,,,,3/19/18
HOC / JAIL,1178,389,411,800,68%,3/19/18
W.M.C.A.C.,148,103,NA,103,70%,3/19/18
Women's Center,306,92,112,204,67%,3/19/18
HAMPSHIRE,287,147,97,244,85%,3/19/18
MIDDLESEX,,,,,,3/19/18
Billerica,1501,380,437,817,54%,3/19/18
NORFOLK,,,,,,3/19/18
Dedham / RT 128,620,178,276,454,73%,3/19/18
PLYMOUTH,1140,339,659,998,88%,3/19/18
"SUFFOLK
Nashua Street",453,NA,591,591,130%,3/19/18
South Bay,1796,922,NA,922,51%,3/19/18
WORCESTER,,,,,,3/19/18
HOC / JAIL,822,404,574,978,119%,3/19/18
TOTAL,11226,4385,5035,9420,84%,3/19/18
BARNSTABLE,300,159,179,338,113%,7/30/18
BERKSHIRE,292,97,90,187,64%,7/30/18
BRISTOL,,,,,,7/30/18
Ash Street,206,18,148,166,81%,7/30/18
Dartmouth,304,337,580,917,302%,7/30/18
Women's Center,56,27,46,73,130%,7/30/18
DUKES,19,18,0,18,95%,7/30/18
ESSEX,,,,,,7/30/18
Middleton,1291,358,857,1215,94%,7/30/18
WIT,23,35,NA,35,152%,7/30/18
L.C.A.C.,340,243,NA,243,71%,7/30/18
FRANKLIN,144,95,130,225,156%,7/30/18
HAMPDEN,,,,,,7/30/18
HOC / JAIL,1178,383,528,911,77%,7/30/18
W.M.C.A.C.,148,94,NA,94,64%,7/30/18
Women's Center,306,85,129,214,70%,7/30/18
HAMPSHIRE,287,134,96,230,80%,7/30/18
MIDDLESEX,,,,,,7/30/18
Billerica,1501,343,493,836,56%,7/30/18
NORFOLK,,,,,,7/30/18
Dedham / RT 128,620,126,321,447,72%,7/30/18
PLYMOUTH,1140,305,683,988,87%,7/30/18
SUFFOLK,,,,,,7/30/18
Nashua Street,453,NA,623,623,138%,7/30/18
South Bay,1796,931,NA,931,52%,7/30/18
WORCESTER,,,,,,7/30/18
HOC / JAIL,822,379,542,921,112%,7/30/18
TOTAL,11226,4167,5445,9612,86%,7/30/18
BARNSTABLE,300,166,158,324,108%,3/26/18
BERKSHIRE,292,114,92,206,71%,3/26/18
BRISTOL,,,,,,3/26/18
Ash Street,206,18,118,136,66%,3/26/18
Dartmouth,304,354,556,910,299%,3/26/18
Women's Center,56,39,46,85,152%,3/26/18
DUKES,19,22,0,22,116%,3/26/18
ESSEX,,,,,,3/26/18
Middleton,1291,373,821,1194,92%,3/26/18
WIT,23,33,NA,33,143%,3/26/18
L.C.A.C.,340,220,NA,220,65%,3/26/18
FRANKLIN,144,88,133,221,153%,3/26/18
HAMPDEN,,,,,,3/26/18
HOC / JAIL,1178,387,408,795,67%,3/26/18
W.M.C.A.C.,148,111,NA,111,75%,3/26/18
Women's Center,306,81,113,194,63%,3/26/18
HAMPSHIRE,287,141,91,232,81%,3/26/18
MIDDLESEX,,,,,,3/26/18
Billerica,1501,373,446,819,55%,3/26/18
NORFOLK,,,,,,3/26/18
Dedham / RT 128,620,178,276,454,73%,3/26/18
